Geneid	SRR1552454	SRR1552452	SRR1552450	SRR1552448	SRR1552446	SRR1552444
100008567	0	0	0	0	0	1
100009600	1	0	1	0	0	0
100009609	0	0	0	0	0	0
100009614	0	0	0	0	0	0
100009664	0	0	0	0	0	0
100012	0	0	0	0	0	0
100017	12	21	21	5	15	14
100019	26	31	69	13	45	57
100033459	0	0	0	0	0	0
100034251	1	0	0	18	0	0
100034361	0	1	1	0	0	0
100034363	0	0	0	0	0	0
100034684	0	0	0	0	0	0
100034726	5	10	15	7	14	10
100034729	0	0	0	0	0	0
100034739	0	0	0	0	0	0
100034748	0	0	0	0	1	0
100036518	0	0	0	0	0	0
100036520	0	0	0	0	0	0
100036521	5	3	4	6	5	7
100036523	0	0	1	0	0	0
100036537	0	0	0	0	0	0
100036568	0	0	0	0	0	0
100036571	0	0	0	0	0	0
100036572	0	0	0	0	0	0
100036768	2	0	2	0	1	0
100037258	63	37	48	63	45	73
100037260	0	1	0	0	0	0
100037262	0	0	0	0	0	0
100037278	0	2	2	0	1	2
100037282	1	2	3	0	1	2
100037283	2	2	7	1	9	32
100037396	0	0	0	0	0	0
100038347	0	0	1	7	5	25
100038349	0	0	0	0	0	0
100038353	0	0	0	0	0	0
100038356	0	0	1	0	0	0
100038357	0	0	0	0	0	0
100038358	0	0	0	0	0	0
100038359	0	0	0	0	0	1
100038361	0	0	0	0	0	0
100038363	0	0	0	0	0	0
100038371	0	0	0	0	0	0
100038374	0	0	0	0	0	0
100038376	0	0	0	0	0	0
100038378	0	0	0	0	0	0
100038380	0	0	0	0	0	0
100038381	0	0	0	0	0	0
100038382	0	0	0	0	0	0
100038383	0	0	0	0	0	0
100038384	0	0	0	0	0	0
100038388	0	1	0	0	0	1
100038391	0	0	0	0	0	0
100038392	0	0	0	0	0	0
100038394	0	0	0	0	0	0
100038395	0	0	0	0	0	0
100038398	0	0	1	0	1	1
100038399	0	0	0	0	0	0
100038410	0	0	0	0	0	0
100038411	0	0	0	0	0	0
100038412	0	0	0	2	0	0
100038413	0	0	0	0	0	0
100038414	0	0	0	0	0	0
100038416	0	1	0	0	0	0
100038417	0	0	0	0	0	0
100038419	0	0	0	0	0	0
100038420	0	0	0	0	0	0
100038421	0	0	0	0	0	0
100038424	0	0	0	0	0	0
100038425	0	0	0	0	0	0
100038429	0	0	0	0	0	0
100038431	0	0	0	0	0	0
100038433	0	0	0	0	0	0
100038436	0	0	0	0	0	0
100038439	0	0	0	0	0	0
100038440	0	0	0	0	0	0
100038452	0	0	0	0	0	0
100038453	0	0	0	0	0	0
100038454	0	0	0	0	0	0
100038460	0	0	0	0	0	0
100038464	0	0	0	4	1	1
100038467	0	0	0	0	0	0
100038468	0	0	0	0	0	0
100038470	0	0	0	0	0	0
100038478	0	0	0	0	0	0
100038479	0	0	0	0	0	0
100038481	0	0	0	0	0	0
100038486	0	0	0	0	0	0
100038487	0	0	0	0	0	0
100038489	0	0	0	0	0	0
100038493	0	0	0	0	0	0
100038494	1	0	0	0	0	0
100038496	0	0	1	0	0	0
100038498	0	0	0	0	0	0
100038504	0	0	0	0	0	0
100038506	0	0	0	0	0	0
100038508	0	0	0	0	0	0
100038509	0	0	0	0	0	0
100038513	0	0	0	0	0	0
100038514	0	0	0	0	0	0
100038516	0	0	0	0	0	0
100038522	0	0	0	0	0	0
100038525	0	0	0	0	0	0
100038526	2	0	0	0	0	1
100038528	0	0	0	0	0	0
100038529	0	0	0	0	0	0
100038532	0	0	0	0	0	0
100038537	0	0	0	0	0	0
100038538	0	0	0	0	0	0
100038541	0	0	0	0	0	0
100038545	0	0	0	0	0	0
100038546	0	0	0	0	0	0
100038547	0	0	1	0	0	0
100038548	0	0	0	0	0	0
100038551	0	0	0	0	0	0
100038554	0	0	0	0	0	0
100038555	0	0	0	0	0	0
100038556	0	0	0	0	0	0
100038558	2	0	0	0	0	0
100038560	1	0	0	0	0	0
100038561	0	0	0	0	0	0
100038563	0	0	0	0	0	0
100038566	0	0	0	0	0	0
100038569	0	0	0	0	0	0
100038570	0	1	0	0	0	0
100038571	0	0	0	7	0	0
100038573	0	0	0	0	0	0
100038574	0	0	0	0	0	0
100038575	0	0	0	0	0	0
100038577	0	0	0	0	0	0
100038582	0	0	0	0	0	0
100038584	0	0	0	0	0	0
100038587	0	0	0	0	0	0
100038589	0	0	0	0	0	0
100038590	0	0	0	0	0	0
100038591	2	2	1	0	0	1
100038595	0	0	0	0	0	0
100038596	0	0	0	0	0	0
100038599	0	0	1	0	0	0
100038600	0	0	0	0	0	0
100038602	0	0	0	0	0	0
100038605	0	0	0	0	2	1
100038606	0	0	0	0	0	0
100038607	0	0	0	0	0	0
100038608	0	0	0	0	0	0
100038610	0	0	0	0	0	0
100038614	3	0	1	1	0	0
100038617	0	0	0	0	0	0
100038618	0	0	0	0	0	0
100038621	0	0	0	0	0	0
100038623	0	0	0	0	0	0
100038625	0	0	0	0	0	0
100038627	0	0	0	0	0	0
100038628	0	0	0	0	0	0
100038629	0	0	0	0	0	0
100038636	1	0	0	1	0	0
100038638	0	0	0	0	0	0
100038644	0	0	0	0	0	0
100038647	0	0	0	0	0	0
100038648	0	0	0	0	0	0
100038649	0	0	0	0	0	0
100038651	0	0	1	0	0	0
100038652	0	0	0	0	0	0
100038653	0	0	0	0	0	0
100038657	0	0	0	0	0	0
100038659	0	0	0	0	0	0
100038662	0	0	0	0	0	0
100038666	0	0	0	0	0	0
100038667	0	0	0	0	0	0
100038668	0	0	0	0	0	0
100038671	0	0	0	0	0	0
100038674	0	0	0	0	0	0
100038681	0	0	0	0	0	1
100038683	0	0	0	0	0	0
100038688	0	0	1	0	0	1
100038689	0	0	0	0	0	0
100038691	3	0	0	0	0	0
100038693	5	1	1	0	1	1
100038695	0	0	0	0	0	0
100038696	0	0	1	0	1	0
100038697	0	0	0	0	0	0
100038699	0	0	0	0	0	0
100038700	0	0	0	0	0	0
100038706	0	0	0	0	0	0
100038707	0	0	0	1	0	0
100038708	0	0	0	0	0	0
100038709	0	0	0	0	0	0
100038711	0	4	1	0	0	0
100038712	0	0	0	1	0	0
100038713	0	0	0	0	0	0
100038714	0	0	0	0	0	0
100038717	0	0	0	0	0	0
100038718	0	0	0	0	0	0
100038722	0	0	0	0	0	0
100038724	0	0	0	0	0	0
100038725	8	2	2	0	0	9
100038728	0	0	0	0	0	0
100038730	0	1	1	0	0	0
100038732	0	0	0	0	0	0
100038734	0	0	0	0	0	0
100038735	0	1	0	1	2	0
100038739	0	0	0	0	0	0
100038743	0	0	0	0	0	0
100038746	0	4	1	1	0	1
100038752	0	0	0	0	0	0
100038846	0	0	0	0	0	0
100038847	0	0	0	0	0	0
100038850	0	0	0	0	0	0
100038852	0	0	0	0	0	0
100038854	0	0	0	0	0	0
100038859	0	0	0	0	0	0
100038860	0	0	0	0	0	0
100038862	0	0	0	0	0	0
100038882	6	2	4	1	3	3
100038909	0	0	0	0	0	0
100038912	0	0	0	0	0	0
100038914	0	0	0	0	0	0
100038927	0	0	0	0	0	0
100038937	0	0	0	0	0	0
100038941	0	0	0	0	0	0
100038944	0	0	0	0	0	0
100038947	0	0	0	0	0	0
100038948	0	0	0	0	0	0
100038949	0	1	0	0	0	0
100038967	0	0	0	0	0	0
100038969	0	0	0	0	0	0
100038971	0	0	0	0	0	0
100038977	0	0	0	0	0	0
100038982	0	0	0	0	0	0
100038987	0	0	0	0	0	0
100038992	0	0	0	0	0	0
100038993	0	0	0	0	0	0
100038995	0	0	0	0	0	0
100038997	0	0	0	0	0	0
100038999	0	0	1	0	0	0
100039008	0	0	0	0	0	0
100039010	0	0	0	0	0	0
100039014	0	0	0	0	0	0
100039017	0	0	0	0	0	0
100039019	0	0	0	0	0	0
100039027	0	0	0	0	0	0
100039028	0	0	0	0	0	0
100039029	0	0	0	0	0	0
100039030	0	0	0	0	0	0
100039032	0	0	0	0	0	0
100039034	0	0	0	0	0	0
100039042	0	0	0	0	0	0
100039043	0	0	0	0	0	0
100039044	0	0	0	0	0	0
100039045	0	0	0	0	0	0
100039052	0	0	0	0	0	0
100039053	0	0	0	0	0	0
100039054	0	0	0	0	0	0
100039055	0	0	0	0	0	0
100039060	0	0	0	0	0	0
100039062	0	1	0	0	0	0
100039065	0	0	0	0	0	0
100039068	0	0	0	0	0	0
100039076	0	0	0	0	0	0
100039078	0	0	0	0	0	0
100039086	0	0	0	0	0	0
100039087	0	0	0	0	0	0
100039089	0	0	0	0	0	0
100039100	0	0	0	0	0	0
100039116	0	0	0	0	0	0
100039120	0	0	0	0	0	0
100039123	0	0	0	0	0	0
100039129	0	0	0	0	0	0
100039138	0	0	0	0	0	0
100039139	0	0	0	0	0	0
100039150	0	0	0	0	0	0
100039151	0	0	0	0	0	0
100039162	0	0	0	0	0	0
100039175	0	0	0	0	0	0
100039176	0	0	0	0	0	0
100039177	0	0	0	0	0	0
100039179	0	0	0	0	0	0
100039192	0	0	0	0	0	0
100039194	0	0	0	0	0	0
100039206	0	0	0	0	0	0
100039208	0	0	0	0	0	0
100039209	0	0	0	0	0	0
100039210	0	0	0	0	0	0
100039211	0	0	0	0	0	0
100039213	0	0	0	0	0	0
100039222	0	0	0	0	0	0
100039227	0	0	0	0	0	0
100039239	0	1	0	0	0	0
100039240	0	0	0	0	0	0
100039246	0	0	0	0	0	0
100039252	1	1	1	0	3	1
100039257	0	0	0	0	0	0
100039269	0	0	0	0	0	0
100039271	0	0	0	0	0	0
100039280	0	0	0	0	0	0
100039293	0	0	0	0	0	0
100039294	0	0	0	0	0	0
100039304	0	0	0	0	0	0
100039307	0	0	0	0	0	0
100039315	0	0	0	0	0	0
100039319	0	0	0	0	0	0
100039324	0	0	0	0	0	0
100039331	0	0	0	0	0	0
100039334	0	0	0	0	0	0
100039344	0	0	0	0	0	0
100039348	0	0	0	0	0	0
100039350	0	0	0	0	0	0
100039353	0	0	0	0	0	0
100039374	0	0	0	0	0	0
100039377	0	0	0	0	0	0
100039393	0	0	0	0	0	0
100039419	0	1	2	3	5	7
100039422	1	2	0	0	1	1
100039436	0	0	0	0	0	0
100039444	0	0	0	0	0	0
100039446	0	0	0	0	0	0
100039452	0	0	0	0	0	0
100039467	0	0	0	0	0	0
100039478	0	0	0	0	0	0
100039479	0	0	0	0	0	0
100039484	0	0	0	0	0	0
100039495	1	0	0	0	0	0
100039499	0	0	0	0	0	0
100039503	0	0	0	0	0	0
100039521	0	0	0	0	0	0
100039522	0	0	0	0	0	0
100039523	0	0	0	0	0	0
100039532	0	0	0	0	0	0
100039545	0	0	0	0	0	0
100039550	0	0	0	0	0	0
100039551	0	0	0	0	0	0
100039571	0	0	1	0	0	1
100039573	0	0	0	0	0	0
100039574	0	0	0	0	0	0
100039585	0	0	0	0	0	0
100039589	0	0	0	0	0	0
100039595	0	0	0	0	0	0
100039596	0	0	3	0	0	0
100039602	0	0	0	0	0	0
100039614	0	0	0	0	0	0
100039636	22	29	29	16	53	24
100039641	0	0	0	0	0	0
100039655	0	0	0	0	0	0
100039659	0	0	0	0	0	0
100039672	0	0	0	0	0	0
100039673	0	0	0	0	0	0
100039674	0	0	0	0	0	0
100039675	0	0	0	0	0	0
100039681	1	0	0	0	0	0
100039684	2	1	0	0	0	0
100039691	0	0	0	0	0	0
100039693	0	0	0	0	0	0
100039706	0	0	0	0	0	0
100039707	0	2	0	0	0	2
100039719	0	0	0	0	0	0
100039724	0	0	0	0	0	0
100039727	0	0	0	0	0	0
100039728	0	0	0	0	0	0
100039731	1	0	0	0	0	0
100039732	0	0	0	0	0	0
100039739	0	0	0	0	0	0
100039741	0	0	0	0	0	0
100039746	0	1	0	0	0	0
100039748	2	0	0	0	0	0
100039752	0	0	0	0	0	0
100039753	0	0	0	0	0	0
100039757	0	0	0	0	0	0
100039763	0	0	0	0	0	0
100039768	5	3	1	0	0	0
100039781	3	1	0	0	4	3
100039786	0	0	0	0	0	0
100039789	0	0	0	0	0	0
100039790	0	0	0	0	0	0
100039794	0	0	0	0	0	0
100039795	1	1	9	0	0	0
100039796	0	0	2	0	0	0
100039801	0	0	0	0	0	0
100039805	0	0	0	0	0	0
100039810	0	0	0	0	0	0
100039815	0	0	0	0	0	0
100039826	0	0	0	0	0	0
100039830	0	0	0	0	0	0
100039842	0	0	0	0	0	0
100039848	0	0	0	0	0	0
